date,Bulwarowa,Aleja Krasińskiego,Bujaka
2017-01-01 01:00,"94,5","119,9","177,6"
2017-01-01 02:00,"154,2","177,4","360,4"
2017-01-01 03:00,"145,8","178,9","208,4"
2017-01-01 04:00,"131,5","187,5","174,8"
2017-01-01 05:00,"138,6","206,5","154,1"
2017-01-01 06:00,"118,5","187,6","151,8"
2017-01-01 07:00,"120,6","178,4","154,9"
2017-01-01 08:00,"112,2","167,1","119,5"
2017-01-01 09:00,"101,9","162,1","120,5"
2017-01-01 10:00,"95,5","157,2","120,6"
2017-01-01 11:00,"79,9","151,9","103,5"
2017-01-01 12:00,"69,2",131,"98,5"
2017-01-01 13:00,"60,7","111,2","93,9"
2017-01-01 14:00,"68,6","96,7","66,1"
2017-01-01 15:00,"49,9","92,9","54,7"
2017-01-01 16:00,"49,5","95,9","62,4"
2017-01-01 17:00,"58,5","105,8","77,5"
2017-01-01 18:00,"75,4","118,7","99,3"
2017-01-01 19:00,"82,8","127,8","131,3"
2017-01-01 20:00,"111,8","157,1","153,9"
2017-01-01 21:00,"124,8",176,"175,1"
2017-01-01 22:00,"127,2","206,6","213,5"
2017-01-01 23:00,"158,2","188,8","184,5"
2017-01-02 00:00,"135,7","151,1","123,4"
2017-01-02 01:00,"148,4","145,4","108,4"
2017-01-02 02:00,"123,2","155,1","94,8"
2017-01-02 03:00,"112,9","149,4","85,5"
2017-01-02 04:00,"103,6","140,5","84,4"
2017-01-02 05:00,"89,3","137,1","80,6"
2017-01-02 06:00,"86,3","124,6","95,7"
2017-01-02 07:00,"86,3","129,7","104,4"
2017-01-02 08:00,88,"144,1","109,1"
2017-01-02 09:00,79,"136,5","87,8"
2017-01-02 10:00,"70,7","102,9","72,7"
2017-01-02 11:00,"40,5","46,3","73,7"
2017-01-02 12:00,"23,2","47,1","54,7"
2017-01-02 13:00,"28,1","49,6","60,5"
2017-01-02 14:00,"32,7","45,1",41
2017-01-02 15:00,26,"40,4","32,2"
2017-01-02 16:00,"31,5","48,6","32,8"
2017-01-02 17:00,"34,9","51,4","35,2"
2017-01-02 18:00,"37,7","56,9","39,3"
2017-01-02 19:00,"35,5","54,1","34,2"
2017-01-02 20:00,"41,6","62,5","36,1"
2017-01-02 21:00,"37,4","66,8","43,9"
2017-01-02 22:00,"37,4","65,8",36
2017-01-02 23:00,"44,6","70,2","39,5"
2017-01-03 00:00,"43,7","68,5","38,9"
2017-01-03 01:00,"43,3","64,4","41,6"
2017-01-03 02:00,42,"60,3",42
2017-01-03 03:00,38,"51,2",38
2017-01-03 04:00,"32,5","51,4","37,8"
2017-01-03 05:00,"34,5","54,9","31,1"
2017-01-03 06:00,"34,2","50,1","33,8"
2017-01-03 07:00,"33,4","54,2","32,8"
2017-01-03 08:00,"29,3","47,5",29
2017-01-03 09:00,"28,8","44,3","25,7"
2017-01-03 10:00,"30,9","49,4","34,6"
2017-01-03 11:00,"27,7","51,7","32,4"
2017-01-03 12:00,"24,2","39,2","34,4"
2017-01-03 13:00,"22,1","32,1","18,1"
2017-01-03 14:00,"15,4","27,2","13,9"
2017-01-03 15:00,"13,7","25,8","18,1"
2017-01-03 16:00,"14,3","27,6","16,8"
2017-01-03 17:00,"15,9","27,1","18,9"
2017-01-03 18:00,17,"32,2","21,3"
2017-01-03 19:00,"17,8","33,7","19,5"
2017-01-03 20:00,"17,6","30,4","19,6"
2017-01-03 21:00,"12,9","23,8","20,3"
2017-01-03 22:00,"12,1","17,4","14,9"
2017-01-03 23:00,12,"24,9","16,5"
2017-01-04 00:00,"13,5","20,6","14,3"
2017-01-04 01:00,"12,6",18,"4,8"
2017-01-04 02:00,"8,8","11,9","4,6"
2017-01-04 03:00,"6,3","9,6",5
2017-01-04 04:00,5,"8,9","7,1"
2017-01-04 05:00,"8,1","7,7",8
2017-01-04 06:00,"6,3","7,7","5,5"
2017-01-04 07:00,"4,6","7,4","7,8"
2017-01-04 08:00,"5,5","10,6","4,6"
2017-01-04 09:00,"4,6","13,7","5,5"
2017-01-04 10:00,"5,4","14,6","6,1"
2017-01-04 11:00,"10,6","13,9","12,1"
2017-01-04 12:00,"7,5","11,2","11,6"
2017-01-04 13:00,"7,5","16,9","8,4"
2017-01-04 14:00,"7,7","11,9","5,2"
2017-01-04 15:00,"5,4","10,5","7,2"
2017-01-04 16:00,7,"11,5","5,2"
2017-01-04 17:00,"10,4","11,9","10,4"
2017-01-04 18:00,"7,9","12,6",11
2017-01-04 19:00,"7,3","14,3","7,8"
2017-01-04 20:00,"8,8","13,9","8,7"
2017-01-04 21:00,10,"13,7","9,9"
2017-01-04 22:00,"10,7","11,7","13,3"
2017-01-04 23:00,"9,1","13,3","15,5"
2017-01-05 00:00,"8,3","11,7","7,3"
2017-01-05 01:00,"6,8","10,9","9,6"
2017-01-05 02:00,"6,4","11,7","9,2"
2017-01-05 03:00,"5,7","12,6","8,3"
2017-01-05 04:00,"6,1",7,"6,6"
2017-01-05 05:00,"3,8","7,4","4,3"
2017-01-05 06:00,"4,4","8,1","6,2"
2017-01-05 07:00,"7,6","10,2","5,6"
2017-01-05 08:00,"8,6","11,1","7,5"
2017-01-05 09:00,"6,6",15,"12,1"
2017-01-05 10:00,8,"14,9","12,7"
2017-01-05 11:00,"9,3","15,5","11,5"
2017-01-05 12:00,"7,3","14,5",7
2017-01-05 13:00,"7,4","13,6","8,2"
2017-01-05 14:00,"8,7",12,"7,3"
2017-01-05 15:00,"7,2","11,2","5,4"
2017-01-05 16:00,"6,9",16,"10,3"
2017-01-05 17:00,"8,8",16,"11,3"
2017-01-05 18:00,"11,2","22,4","15,1"
2017-01-05 19:00,"10,1","25,2","21,4"
2017-01-05 20:00,"11,6","19,4","19,9"
2017-01-05 21:00,"10,8","25,6","23,3"
2017-01-05 22:00,"13,4","31,6","18,2"
2017-01-05 23:00,"10,8","26,4",17
2017-01-06 00:00,"8,4","22,4","12,3"
2017-01-06 01:00,"6,1","22,8","12,2"
2017-01-06 02:00,"7,2","21,8","13,8"
2017-01-06 03:00,"5,9",22,"7,2"
2017-01-06 04:00,"8,3","21,3","10,2"
2017-01-06 05:00,12,"21,2","13,5"
2017-01-06 06:00,"8,3","24,2","8,4"
2017-01-06 07:00,"9,6","30,8","13,4"
2017-01-06 08:00,15,"28,3","11,7"
2017-01-06 09:00,"15,1","32,7","18,6"
2017-01-06 10:00,"15,3","36,1","14,8"
2017-01-06 11:00,"18,8","35,7","15,3"
2017-01-06 12:00,16,"32,8",16
2017-01-06 13:00,"6,8","31,2","12,1"
2017-01-06 14:00,"12,7","20,7","13,9"
2017-01-06 15:00,"15,7","36,2","14,3"
2017-01-06 16:00,"18,8","44,2","19,1"
2017-01-06 17:00,"15,6","41,8","20,4"
2017-01-06 18:00,"17,9","46,9",26
2017-01-06 19:00,"22,2","50,8","25,4"
2017-01-06 20:00,"27,5","56,5","27,2"
2017-01-06 21:00,"21,7","50,2","29,8"
2017-01-06 22:00,25,"46,6","36,8"
2017-01-06 23:00,"20,8","70,2",40
2017-01-07 00:00,"25,1","100,2","74,2"
2017-01-07 01:00,"35,7","96,8","78,1"
2017-01-07 02:00,"42,2","128,3","98,2"
2017-01-07 03:00,"35,4","133,4","100,5"
2017-01-07 04:00,"70,8","167,8","126,1"
2017-01-07 05:00,"57,8","165,3","128,8"
2017-01-07 06:00,"65,1","169,8","121,5"
2017-01-07 07:00,"67,4","166,5","132,3"
2017-01-07 08:00,81,"138,2","155,6"
2017-01-07 09:00,"92,4","148,6","156,5"
2017-01-07 10:00,"97,5","170,5","152,8"
2017-01-07 11:00,"95,8","180,5","148,3"
2017-01-07 12:00,49,"119,9","126,3"
2017-01-07 13:00,44,"78,9","76,1"
2017-01-07 14:00,"47,3","82,9","57,9"
2017-01-07 15:00,"54,5","83,8","84,7"
2017-01-07 16:00,"55,6","83,6",70
2017-01-07 17:00,"61,3","92,4","71,5"
2017-01-07 18:00,"61,8","105,7","87,9"
2017-01-07 19:00,"64,8","121,7",104
2017-01-07 20:00,"75,6","140,2","140,5"
2017-01-07 21:00,81,"154,5",153
2017-01-07 22:00,"97,3","183,1","184,6"
2017-01-07 23:00,"114,9","217,4","229,1"
2017-01-08 00:00,"118,4","251,6","249,1"
2017-01-08 01:00,"132,5","262,4","253,8"
2017-01-08 02:00,"146,3","286,8","277,4"
2017-01-08 03:00,"164,2","305,7","225,9"
2017-01-08 04:00,"171,6","305,3","207,6"
2017-01-08 05:00, ,"301,3","197,4"
2017-01-08 06:00, ,"311,2","192,4"
2017-01-08 07:00, ,"302,4","164,8"
2017-01-08 08:00,"190,7","264,4","154,7"
2017-01-08 09:00,"177,7","246,7","140,9"
2017-01-08 10:00,157,"236,6","160,6"
2017-01-08 11:00,"133,8","229,2","176,6"
2017-01-08 12:00,"120,7","193,8","181,3"
2017-01-08 13:00,"134,2","208,5","210,8"
2017-01-08 14:00,"125,1","166,8","152,2"
2017-01-08 15:00,105,"147,4","101,1"
2017-01-08 16:00,"78,3","117,6","85,2"
2017-01-08 17:00,"19,4","121,3","97,1"
2017-01-08 18:00,"27,4","124,1",124
2017-01-08 19:00,"32,4","132,1","166,2"
2017-01-08 20:00,"51,4","129,6","212,1"
2017-01-08 21:00,"52,5","115,3","235,8"
2017-01-08 22:00,"54,6",121,"201,4"
