,post,date,user,vote,image
0,"               383541,31 - 12.47 = 383528.84  After yesterday's madness - a bit quieter training ... Because of children to parents so I slept a little bit this time just before 6 o'clock. On the thermometer all 4 ° C, but smog unfortunately closer to 150% of the standard - and I thought that by autumn the mask will be she was waiting in the garage ...  Thighs hurt a little, but it was not even that bad - we even managed to keep the average pace below 5:00! So ... 4:59 min / km xD  Today, the plan still has a swimming pool, just in time for a relax (͡ ‿ ͡)  Have a nice surplus!  show spoiler #track #guidingtop #guiding #enronczlapie #ruszkrakow  show the whole source: embed.jpg   +: oldgamesfan, k__d +1 other  ",2019-04-08 17:05:40,enron,3,
1,"               #smog #warszawa  https://aqicn.org/map/warsaw/pl/  Why is there no smog alarm for fucking misery? Air buried at 1000% in some places, I was just wondering what's in my throat like I was going to work.   +: JLMNSJCTELCTM, nonsense +6 others  ",2019-04-08 08:42:19,Khaine,8,
2,"               From September 2022, the use of old furnaces will be banned (1st and 2nd emisní třída) If you use an old furnace, you should expect a fine of 50,000kc (~ 8,370 PLN) and further consequences (and subsequent mandates). Replacing old furnaces has been going on for several years. The government co-finances the exchange of 100,000 kilns, and those who do not have the resources to exchange the old muse, have the option of taking a non-interest loan for this purpose. #Europe #smog #ecology show the whole thing   +: GothBoyy666, NashBridges +2 others  ",2019-04-07 02:42:56,mateusz_k,4,
3,"               But stench today in Katowice. Sticks like a tailpipe (͡ ° ʖ̯ ͡ °) #katowice #smog   +: W33D420, mustol108 +2 others  ",2019-04-06 18:51:28,szynszyla2018,4,
4,"               384203.09 - 16.27 = 384186.82  Well, today I slept well ... I did not start until 7:30 (ʘ‿ʘ)  Outside, 9 ° C, smog again symbolically above 100% but there was a strong wind - just like yesterday, the mask was in the garage. Despite the high temperature, it was not very warm - very much, the sun was not visible at all from behind heavy clouds, sometimes it slept lightly ... and so what if it ran very positively (͡ ‿ ͡)  Although for a good part of the route (and uphill) he was strong in the race, I did not even manage to keep up the pace. The effect - average 4:54 min / km. And all in all just right (͡ ° ͜ʖ ͡ °)  Nice Saturday!  show spoiler #track #guidingtop #guiding #enronczlapie #ruszkrakow  show the whole source: embed.jpg   +: Kinja, randall +12 others  ",2019-04-06 17:16:50,enron,14,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_oZinw8M2TKbiPUBts3knK2P3hCD6ombB,w400.jpg""/>"
5,"               #spoleczenstwo #polityka #miasto #swiat #narkotyki #choroby #przestepczosc #prostytucja #ceny #municipania #zadzczy air #smog #ecommunikacja #deciemci #pieniadze #budownictwo #stres #imigracja #imigranci #zycie #srodowisko #bezdomnosc #beomom #economia #emigracja #uniaeuropejska #patologia #patologiaziejsa #kariera https://slideplayer.pl/slide/840508/ show the whole source: slideplayer.pl   +: Rapepo, Gilgamesh69  ",2019-04-06 14:27:05,szkorbutny,2,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_0JroNircTNBTV2QPdgFS9DjOu02dyXB2,w400.jpg""/>"
6,               And another actor you sued the smog #Warsaw   ,2019-04-05 21:10:51,Zamaloczasunalogin,0,
7,"  New Polish smog standards are the lowest in the entire EU  Yesterday, the Minister of the Environment announced new thresholds for warning against air pollution. The alarm level for suspended particulate matter (reduced from 300 to 250 μg / m3) will remain the highest in the European Union and will be three times higher than in France or Italy. The Minister of the Environment has recognized new levels of alerting for his success, while mocking the Poles, the Ministry of Health and anti-smog government policy - there will be practically no warnings about smog.  #smog #mikroreklama show the whole   +: MicroPepe, slavas  ",2019-04-05 16:20:33,SwiatOze,2,
8,"               Halo Mirasy and Hungarian anti-smog and anti-dust;) I have such a problem that I work on the mine and I could use something to protect the airways, because the pollination at this moment is amazing. I immediately point out that I am not employed by mines, only by an external company and from what I see, the employer only provides payment (͡ ° ͜ʖ ͡ °) I just need some dust masks, but not some cheap trash, because it does not work. Will anyone recommend some? I do not know if such anti-fog products will give. To be honest I'm interested in somehow being able to breathe through them (is it possible?), They were tight and, if possible, non-sequential (͡ ° ͜ʖ ͡ °) #kopalnia #wegiel #maska ​​#smog #bhp #pracbaza #kiciochpyta and maybe #krakow xD show whole   ",2019-04-05 15:27:58,guru8,0,
9,"               halo #katowice how's the ass fucking those who have not heard yet? our beloved president will finally eliminate smog - buying 2 tesla about you dung (╯ ° □ °) ╯( ┻━┻ #mojkrajakakakiekny #chlewobsranygownem #polska   +: FuzzyWuzzy, Nemootji +56 others  ",2019-04-05 08:11:08,caribbean,58,
10,               Hardly smog gave way to another day of Czyżyny stinking Philipris Morris. Beka from #krakow   ,2019-04-04 22:01:38,Tombarol,0,
11,               #cebuladeals #tarnow #smog #heating #polanddomains  So informatively - in Tesco in #tarnow there is on the promotion packaged #ecook for 500 cebulionow per ton and wood briquette for 450 PLN per ton.   ,2019-04-04 18:55:06,RandomowyMirek,0,
12,"               in Krakow there is such a smog that when a girl asks me to strangle her during sex, I just open a window  #krakow #smog   +: Yukio_Mishima, chad_69 +116 others  ",2019-04-04 13:57:19,top_czipsy,118,
13,"  Xiaomi OLED Display Smart Air Purifier 2S - Banggood Price: 130 $ (494.01 PLN) Lowest price: 130 $ on 14-03-2019 Coupon: plxm2s  #chinskacebulakupony - Follow the tag if you want to see more of such promotions. ---------------  Group on Facebook - https://www.facebook.com/groups/686487848228753 Channel on Telegram - https://t.me/ChinskaCebula Facebook page - https://www.facebook.com/ChinskaCebula  Do you want to be called to a specific product? Write in the comment for example ""@ polu7 I want to be called to xiaomi mi8""  I am calling: @ widmo82, @ bi-tek,  #chinskacebulaxiaomi  * The lowest price in Banggood store recorded by me since June 2017.  show spoiler https://www.banggood.com/Original-Xiaomi-OLED-Display-Smart-Air-Purifier-2S-Smoke-Dust-Peculiar-Smell-Cleaner-p-1225550.html #smog #superheath  show the whole source: img3.banggood.com   ",2019-04-04 08:43:32,polu7,0,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_UkTDWAzbEdbpnV7cyouvB75sI4txCsT4,w400.jpg""/>"
14,"               A call to the mirks from #lublin! Remember to NECESSARY to go to a referendum on Czechowskie Hills and vote for NO on Sunday. Despite the developer's huge propaganda, you have to think sober - TBV is not from charitable building parks, they want to embed one of the most important air channels of the city, which already has a problem with class = ""bgfbfbd3""> smog",2019-04-04 08:31:28,BarkaMleczna,813,
