,post,date,user,vote,image
0,"               Why so? #wroclaw #smog . . . click to expand the picture. . source: embed.jpg   +: Wardrun, fisherman_fischermann  ",2019-01-23 07:27:53,Cesarz_Polski,2,
1,"               #Cracow  Smog, as if smaller, or the sensors have not yet woken up.   +: nalesnik_po_meksykansku  ",2019-01-23 07:23:21,Miyazaki,1,
2,"               It is a pity that the Russian cities are not on these world lists. I feel something that would be far ahead of Bangladesh and Wroclaw xD #smog   +: lubie-cheesenik, Apollo1993  ",2019-01-23 02:10:20,KCPR,2,
3,"               We almost have it! now only destroy the first city and it will be gold! #smog #polska #sport #heheszki source: srebrny.jpg   +: Apollo1993, slavas  ",2019-01-23 01:27:15,picasssss1,2,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_RFzACWTN3y14yetmPbYdCHGNKEv6oFdf,w400.jpg""/>"
4,"               Well, it's over 700% #wroclaw #smog . . . click to expand the picture. . source: 1548199743326.tajchert.canary.png   +: mamwdomudywan, slavas +6 others  ",2019-01-23 00:29:23,bachus,8,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_eehGyCaCJcpIljWlMbMjELpfm7SbAuCh,w400.jpg""/>"
5,"               Hey, the little fags are funny. Let's see who gets cancer faster. I'm starting.  #wroclaw #smog . . . click to expand the picture. . source: Screenshot_20190123-002431.jpg   +: eARLq3, Waffenek +10 others  ",2019-01-23 00:25:55,WilecSrylec,12,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_Csv06i9qXidqwTcwwLdHBOMsf4WqpPBU,w400.jpg""/>"
6,"               Again #chujowo (╯(╰,)  Mircy, run your xiaomi and clean the air at home  It's amazing that if it's smog, I feel that stench - checking airly is a formality  #warszawa #smog source: Screenshot_76.png   +: mamwdomudywan, WrzeCiOna +8 others  ",2019-01-23 00:18:45,Radek41,10,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_T3SDovWz8nQDCiT25k6SOespA17FK3kO,w400.jpg""/>"
7,"               Well today top 3, who will give more?  #wroclaw #smog . . . click to expand the picture. . source: 1548197843770.png   +: ayanami, jajestemtenboski +8 others  ",2019-01-22 23:58:06,Iudex,10,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_4iHzxei5zLBH1JKKK0EeGxe0XprV6OsU,w400.jpg""/>"
8,"               Shit Mircy, how to live? Strangle me from yesterday, like coughing, and a healthy man.  #bielskobiala #smog #airly #airflow source: qva.jpg   +: lubie-cheesenik, ayanami +4 others  ",2019-01-22 23:25:40,MichaelEllis,6,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_7MNkExVPFWtwrPiLxiJcGfPKm0s12K62,w400.jpg""/>"
9,"               It's TOP3! Bravo #wroclaw #smog source: challenge.jpg   +: skinny, Falcon999 +53 others  ",2019-01-22 23:04:43,oba-manigger,55,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_HaXZJXcWV8AKyzSyd2VEhCcOZF5vb12p,wat400.jpg?author=oba-manigger&amp;auth=9ee42464fbdd9832b4913c9a39cbc949""/>"
10,"               How are you breathing? #smog . . . click to expand the picture. . source: Screenshot_20190122-222545_Canary.jpg   +: slavas, luki201  ",2019-01-22 22:29:46,wire,2,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_buJtUQQdBi6AiqSdRZPaTj1yCQCeJ7Sj,w400.jpg""/>"
11,"               Wroclaw, smog ... It is very bad, it's better not to leave the house, close the window, if someone has a purifier to fire ... https://www.airvisual.com/world-air-quality-ranking  Where is the crisis management center? Why is there no SMS to residents in such situations?  #wroclaw #smog show the whole   +: baby, RozowyPaskud +10 other  ",2019-01-22 22:25:45,bachus,12,
