,textEn,id,created_at,retweet_count,user_screen_name,user_followers_count,user_location,Hashtags,text,Date
0,"RT @ObseratorXY:. @ KrzysztofBrejza with Eliza Michalik: ""PiS goes in import of Russian coal for an absolute record in 2019. How nothing addicted ...",1115739609936351234,2019-04-09 22:13:47,61,Magorza17115739,112,,[],"RT @ObserwatorXY: .@KrzysztofBrejza u Elizy Michalik: ""PiS idzie w imporcie rosyjskiego węgla na absolutny rekord w 2019 r. Jak nic uzależn…",04-09 
1,"RT @unaagix: more expensive tickets in cracow nice will certainly help in choosing public transport instead of a car, to overcome smog, ...",1115734167948541953,2019-04-09 21:52:09,83,montagneverdii,19,,[],"RT @unaagix: drożeją bilety w krakowie nice z pewnością to pomoże w wyborze komunikacji miejskiej zamiast samochodu, żeby zniwelować smog,…",04-09 
2,"You need to know the priorities, not the pig +, not the ""gift"" of the President and WATER +, AIR +. The country is deserting and the smog kills us! Poses ...",1115729520370290688,2019-04-09 21:33:41,0,ASzekla,9,,[],"Trzeba znać priorytety, nie świnia+, nie""dar"" Prezesa a WODA+, POWIETRZE+. Kraj pustynnieje a smog Nas zabija! Pozy…",04-09 
3,"@KrzysztofBrejza Russian smog, hahah good",1115729424056451072,2019-04-09 21:33:18,0,Maximus42897582,1,,[],"@KrzysztofBrejza Rosyjski smog, hahah dobre",04-09 
4,RT @ Andrzej92721218: Think about family 👍 # family #ekologia #ziemia #dziecko #alergia #smog #zycie #smierc #czystepierztrze #powietrze # zani ...,1115724323019460608,2019-04-09 21:13:02,1,place_wellness,49,Polska,"[{'text': 'rodzina', 'indices': [40, 48]}, {'text': 'ekologia', 'indices': [49, 58]}, {'text': 'ziemia', 'indices': [59, 66]}, {'text': 'dziecko', 'indices': [67, 75]}, {'text': 'alergia', 'indices': [76, 84]}, {'text': 'smog', 'indices': [85, 90]}, {'text': 'zycie', 'indices': [91, 97]}, {'text': 'smierc', 'indices': [98, 105]}, {'text': 'czystepowietrze', 'indices': [106, 122]}, {'text': 'powietrze', 'indices': [123, 133]}]",RT @Andrzej92721218: Pomyśl o rodzinie 👍#rodzina #ekologia #ziemia #dziecko #alergia #smog #zycie #smierc #czystepowietrze #powietrze #zani…,04-09 
5,@JaroslawLuban Submit a collective lawsuit for violation of personal rights and harm to mental health ... some leftist with ...,1115722442650148864,2019-04-09 21:05:34,0,ttxyn1,830,Rzeczpospolita ∞,[],@JaroslawLuban Złożyć zbiorowy pozew o naruszenie dóbr osobistych i szkodę na zdrowiu psychicznym... jakiś lewak z…,04-09 
6,"@KrissKrzysztof @lkwarzecha @Porozumienie__ In winter, cars drive more (more people drive cars, more also ...",1115711152376426497,2019-04-09 20:20:42,0,Mekk,152,Poland,[],"@KrissKrzysztof @lkwarzecha @Porozumienie__ Zimą auta jeżdżą bardziej (więcej ludzi jeździ samochodami, więcej też…",04-09 
7,@Mekk @lkwarzecha @Prevention__ Simple fact. Are cars more driving in the winter than I fly? No. Winter is burning in the oven ...,1115707818735222784,2019-04-09 20:07:27,0,KrissKrzysztof,33,,[],@Mekk @lkwarzecha @Porozumienie__ Proste fakt. Czy zimą auta bardziej jeżdżą niż latam? Nie. Zima się pali w piecac…,04-09 
8,Will local governments recognize the rightful rule of the inhabitants and deal with the topic #smog u?,1115699958383108097,2019-04-09 19:36:13,0,MarekZadecki,78,Rzeczypospolita Polska,"[{'text': 'smog', 'indices': [78, 83]}]",Czy samorządy lokalne uznają słuszne rządania mieszkańców i zajmą się tematem #smog u?,04-09 
9,@ObseratorXY @KrzysztofBrejza I prefer Russian smog from the Russian president in Gdansk ...,1115697290872786944,2019-04-09 19:25:37,0,ZnanyD,5,,[],@ObserwatorXY @KrzysztofBrejza Wolę Rosyjski smog od Rosyjskiego prezydenta w Gdańsku..,04-09 
10,". @ KrzysztofBrejza with Eliza Michalik: ""PiS is importing Russian coal for an absolute record in 2019. Like nothing ...",1115694049225322496,2019-04-09 19:12:44,61,ObserwatorXY,7758,,[],".@KrzysztofBrejza u Elizy Michalik: ""PiS idzie w imporcie rosyjskiego węgla na absolutny rekord w 2019 r. Jak nic u…",04-09 
11,@ 98svelvet And who knows that around the corner does not stand smog with dumplings,1115687682804416515,2019-04-09 18:47:26,0,precichous,397,exid dc clc dia kard,[],@98svelvet A kto wie fzy za rogiem nie stoi smog z pierogiem,04-09 
12,@Mekk @lkwarzecha @Porozumienie__ Smog does not come from the car exhaust ... Not at least in Poland.,1115678936552357889,2019-04-09 18:12:41,0,KrissKrzysztof,33,,[],@Mekk @lkwarzecha @Porozumienie__ Smog nie bierze się ze spalin aut... Nie przynajmniej w Polsce.,04-09 
13,"RT @ Wilczek11234: Yeah. Because, of course, you can not promote important values: love, tolerance. Drugs? Global warming? Smog? Banging ...",1115675244398882816,2019-04-09 17:58:01,2,AOverforce,724,czarna parada,[],"RT @Wilczek11234: Taaa. No bo przeciez nie mozna promowac waznych wartosci: milosci, tolerancji. Narkotyki? Ocieplenie klimatu? Smog? Walic…",04-09 
14,Installation (extension) of a photovoltaic installation from 3.06 kW to 6.66 kW ongrid - Żyrardów #czystepowietrze #oze # smog ...,1115668308836147201,2019-04-09 17:30:27,0,oze_market_pl,4,"Mazovia, Poland","[{'text': 'czystepowietrze', 'indices': [85, 101]}, {'text': 'oze', 'indices': [102, 106]}, {'text': 'smog', 'indices': [107, 112]}]","Montaż(rozbudowa) instalacji fotowoltaicznej z 3,06 kW do 6,66 kW ongrid - Żyrardów #czystepowietrze #oze #smog…",04-09 
